ID;Gender;Firstname;Surname;Email;Birthday;Kilograms;Centimeters
1;male;Frank;Lindgren;FrankLindgren@teleworm.us;1/4/1992;101.1;177
2;male;Oliver;Lundgren;OliverLundgren@fleckens.hu;2/9/1993;65.6;182
3;female;Blenda;Lundström;BlendaLundstrom@armyspy.com;6/25/1996;49.1;160
4;male;Shayan;Nordström;ShayanNordstrom@jourrapide.com;10/14/1997;70.6;176
5;male;Dennis;Isaksson;DennisIsaksson@cuvox.de;5/13/1996;91.2;185
6;male;Zakarias;Hermansson;ZakariasHermansson@teleworm.us;6/22/1992;59.4;179
7;male;Marius;Sandberg;MariusSandberg@armyspy.com;9/1/1993;94.4;171
8;female;Elvira;Dahlberg;ElviraDahlberg@fleckens.hu;6/6/1997;79.5;152
9;male;Justin;Jakobsson;JustinJakobsson@superrito.com;10/23/1993;70.7;175
10;male;Casper;Lindström;CasperLindstrom@rhyta.com;8/6/1992;85.1;182
11;female;Amira;Axelsson;AmiraAxelsson@superrito.com;9/27/1991;73.6;157
12;male;Amadeus;Gustavsson;AmadeusGustavsson@gustr.com;8/30/1991;100.5;172
13;male;Aleksandar;Mattsson;AleksandarMattsson@fleckens.hu;6/22/1992;69.0;172
14;male;Mike;Blomqvist;MikeBlomqvist@cuvox.de;3/30/1997;76.8;178
15;female;Naomi;Jönsson;NaomiJonsson@cuvox.de;11/4/1996;68.7;151
16;female;Victoria;Nordström;VictoriaNordstrom@rhyta.com;5/23/1995;52.4;168
17;male;Mahmoud;Berg;MahmoudBerg@armyspy.com;3/7/1991;64.0;180
18;female;Saga;Svensson;SagaSvensson@jourrapide.com;3/16/1997;86.9;158
19;female;Nea;Abrahamsson;NeaAbrahamsson@teleworm.us;1/21/1994;64.1;171
20;male;Mauritz;Söderberg;MauritzSoderberg@armyspy.com;9/18/1992;57.2;188
21;female;Disa;Dahlberg;DisaDahlberg@jourrapide.com;12/9/1995;65.1;173
22;female;Sigrid;Björk;SigridBjork@armyspy.com;10/26/1991;80.8;169
23;female;Aina;Månsson;AinaMansson@jourrapide.com;5/20/1995;54.7;162
24;male;Manfred;Johansson;ManfredJohansson@superrito.com;3/17/1995;82.5;189
25;female;Hedda;Pettersson;HeddaPettersson@dayrep.com;1/9/1992;55.2;162
26;male;Birk;Norberg;BirkNorberg@jourrapide.com;6/28/1994;96.8;182
27;female;Bella;Carlsson;BellaCarlsson@dayrep.com;11/10/1991;55.0;169
28;male;Jack;Engström;JackEngstrom@rhyta.com;2/6/1992;58.0;187
29;male;Wictor;Nilsson;WictorNilsson@dayrep.com;10/6/1991;100.8;190
30;male;Elliott;Hansson;ElliottHansson@dayrep.com;9/3/1996;86.2;169
31;male;Malte;Svensson;MalteSvensson@einrot.com;4/30/1991;102.6;182
32;female;Stella;Berggren;StellaBerggren@rhyta.com;12/3/1993;49.4;167
33;female;Marie;Danielsson;MarieDanielsson@armyspy.com;7/22/1995;54.7;161
34;female;Malvina;Sjöberg;MalvinaSjoberg@teleworm.us;5/10/1996;62.6;175
35;female;Tanya;Björklund;TanyaBjorklund@einrot.com;5/3/1997;74.7;159
36;female;Paulina;Åkesson;PaulinaAkesson@cuvox.de;7/28/1991;52.4;165
37;female;Carla;Ivarsson;CarlaIvarsson@cuvox.de;8/12/1997;81.7;168
38;male;Wilmer;Nyman;WilmerNyman@dayrep.com;1/31/1995;65.7;190
39;male;Paul;Bergman;PaulBergman@rhyta.com;3/4/1996;95.1;188
40;male;Wilmer;Lindqvist;WilmerLindqvist@cuvox.de;10/1/1997;53.7;189
41;male;Liam;Andreasson;LiamAndreasson@rhyta.com;7/30/1992;103.6;189
42;female;Gabrielle;Öberg;GabrielleOberg@rhyta.com;12/14/1993;70.6;160
43;female;Helena;Nyström;HelenaNystrom@teleworm.us;1/28/1994;89.6;168
44;male;Sebastian;Månsson;SebastianMansson@fleckens.hu;10/27/1997;91.8;173
45;female;Simone;Björk;SimoneBjork@armyspy.com;2/19/1997;69.4;168
46;female;Melina;Åberg;MelinaAberg@dayrep.com;7/8/1991;57.6;160
47;female;Myra;Andersson;MyraAndersson@cuvox.de;10/29/1994;68.8;172
48;male;Dani;Persson;DaniPersson@einrot.com;3/25/1993;68.6;188
49;male;Alexander;Söderberg;AlexanderSoderberg@dayrep.com;2/8/1994;80.2;182
50;female;Janina;Hermansson;JaninaHermansson@dayrep.com;3/5/1994;98.0;165
51;female;Cassandra;Sundström;CassandraSundstrom@teleworm.us;9/18/1996;55.1;168
52;male;Tor;Fransson;TorFransson@jourrapide.com;8/1/1995;78.8;180
53;female;Miriam;Dahl;MiriamDahl@fleckens.hu;1/26/1993;97.1;162
54;female;Ellinore;Jonasson;EllinoreJonasson@fleckens.hu;12/20/1992;95.3;162
55;male;Lukas;Sjöberg;LukasSjoberg@cuvox.de;7/3/1993;67.7;180
56;female;Isabelle;Månsson;IsabelleMansson@fleckens.hu;6/25/1996;78.7;153
57;female;Malou;Dahlberg;MalouDahlberg@cuvox.de;4/15/1994;52.4;162
58;female;Jessica;Olofsson;JessicaOlofsson@cuvox.de;7/2/1994;87.7;167
59;male;Matteo;Arvidsson;MatteoArvidsson@rhyta.com;4/23/1997;79.6;187
60;male;Cevin;Ek;CevinEk@teleworm.us;8/28/1991;102.4;186
61;male;Aron;Andersson;AronAndersson@cuvox.de;11/9/1995;61.8;187
62;female;Cindy;Björk;CindyBjork@superrito.com;1/24/1991;61.9;167
63;male;Kalle;Berggren;KalleBerggren@armyspy.com;10/9/1992;91.2;184
64;male;Harry;Sundberg;HarrySundberg@teleworm.us;9/27/1992;66.5;180
65;male;Haris;Forsberg;HarisForsberg@jourrapide.com;12/13/1996;91.9;185
66;female;Vilja;Bergqvist;ViljaBergqvist@rhyta.com;7/31/1993;84.4;159
67;female;Märta;Lindqvist;MartaLindqvist@superrito.com;6/23/1997;52.4;163
68;female;Nea;Berggren;NeaBerggren@superrito.com;10/12/1991;90.2;172
